,Actor 1,Actor 2
0,Chris Pratt,Vin Diesel
1,Chris Pratt,Bradley Cooper
2,Chris Pratt,Zoe Saldana
3,Vin Diesel,Chris Pratt
4,Vin Diesel,Bradley Cooper
5,Vin Diesel,Zoe Saldana
6,Bradley Cooper,Chris Pratt
7,Bradley Cooper,Vin Diesel
8,Bradley Cooper,Zoe Saldana
9,Zoe Saldana,Chris Pratt
10,Zoe Saldana,Vin Diesel
11,Zoe Saldana,Bradley Cooper
12,Noomi Rapace,Logan Marshall-Green
13,Noomi Rapace,Michael Fassbender
14,Noomi Rapace,Charlize Theron
15,Logan Marshall-Green,Noomi Rapace
16,Logan Marshall-Green,Michael Fassbender
17,Logan Marshall-Green,Charlize Theron
18,Michael Fassbender,Noomi Rapace
19,Michael Fassbender,Logan Marshall-Green
20,Michael Fassbender,Charlize Theron
21,Charlize Theron,Noomi Rapace
22,Charlize Theron,Logan Marshall-Green
23,Charlize Theron,Michael Fassbender
24,James McAvoy,Anya Taylor-Joy
25,James McAvoy,Haley Lu Richardson
26,James McAvoy,Jessica Sula
27,Anya Taylor-Joy,James McAvoy
28,Anya Taylor-Joy,Haley Lu Richardson
29,Anya Taylor-Joy,Jessica Sula
30,Haley Lu Richardson,James McAvoy
31,Haley Lu Richardson,Anya Taylor-Joy
32,Haley Lu Richardson,Jessica Sula
33,Jessica Sula,James McAvoy
34,Jessica Sula,Anya Taylor-Joy
35,Jessica Sula,Haley Lu Richardson
36,Matthew McConaughey,Reese Witherspoon
37,Matthew McConaughey,Seth MacFarlane
38,Matthew McConaughey,Scarlett Johansson
39,Reese Witherspoon,Matthew McConaughey
40,Reese Witherspoon,Seth MacFarlane
41,Reese Witherspoon,Scarlett Johansson
42,Seth MacFarlane,Matthew McConaughey
43,Seth MacFarlane,Reese Witherspoon
44,Seth MacFarlane,Scarlett Johansson
45,Scarlett Johansson,Matthew McConaughey
46,Scarlett Johansson,Reese Witherspoon
47,Scarlett Johansson,Seth MacFarlane
48,Will Smith,Jared Leto
49,Will Smith,Margot Robbie
50,Will Smith,Viola Davis
51,Jared Leto,Will Smith
52,Jared Leto,Margot Robbie
53,Jared Leto,Viola Davis
54,Margot Robbie,Will Smith
55,Margot Robbie,Jared Leto
56,Margot Robbie,Viola Davis
57,Viola Davis,Will Smith
58,Viola Davis,Jared Leto
59,Viola Davis,Margot Robbie
60,Matt Damon,Tian Jing
61,Matt Damon,Willem Dafoe
62,Matt Damon,Andy Lau
63,Tian Jing,Matt Damon
64,Tian Jing,Willem Dafoe
65,Tian Jing,Andy Lau
66,Willem Dafoe,Matt Damon
67,Willem Dafoe,Tian Jing
68,Willem Dafoe,Andy Lau
69,Andy Lau,Matt Damon
70,Andy Lau,Tian Jing
71,Andy Lau,Willem Dafoe
72,Ryan Gosling,Emma Stone
73,Ryan Gosling,Rosemarie DeWitt
74,Ryan Gosling,J.K. Simmons
75,Emma Stone,Ryan Gosling
76,Emma Stone,Rosemarie DeWitt
77,Emma Stone,J.K. Simmons
78,Rosemarie DeWitt,Ryan Gosling
79,Rosemarie DeWitt,Emma Stone
80,Rosemarie DeWitt,J.K. Simmons
81,J.K. Simmons,Ryan Gosling
82,J.K. Simmons,Emma Stone
83,J.K. Simmons,Rosemarie DeWitt
84,Essie Davis,Andrea Riseborough
85,Essie Davis,Julian Barratt
86,Essie Davis,Kenneth Branagh
87,Andrea Riseborough,Essie Davis
88,Andrea Riseborough,Julian Barratt
89,Andrea Riseborough,Kenneth Branagh
90,Julian Barratt,Essie Davis
91,Julian Barratt,Andrea Riseborough
92,Julian Barratt,Kenneth Branagh
93,Kenneth Branagh,Essie Davis
94,Kenneth Branagh,Andrea Riseborough
95,Kenneth Branagh,Julian Barratt
96,Charlie Hunnam,Robert Pattinson
97,Charlie Hunnam,Sienna Miller
98,Charlie Hunnam,Tom Holland
99,Robert Pattinson,Charlie Hunnam
100,Robert Pattinson,Sienna Miller
101,Robert Pattinson,Tom Holland
102,Sienna Miller,Charlie Hunnam
103,Sienna Miller,Robert Pattinson
104,Sienna Miller,Tom Holland
105,Tom Holland,Charlie Hunnam
106,Tom Holland,Robert Pattinson
107,Tom Holland,Sienna Miller
108,Jennifer Lawrence,Chris Pratt
109,Jennifer Lawrence,Michael Sheen
110,Jennifer Lawrence,Laurence Fishburne
111,Chris Pratt,Jennifer Lawrence
112,Chris Pratt,Michael Sheen
113,Chris Pratt,Laurence Fishburne
114,Michael Sheen,Jennifer Lawrence
115,Michael Sheen,Chris Pratt
116,Michael Sheen,Laurence Fishburne
117,Laurence Fishburne,Jennifer Lawrence
118,Laurence Fishburne,Chris Pratt
119,Laurence Fishburne,Michael Sheen
120,Eddie Redmayne,Katherine Waterston
121,Eddie Redmayne,Alison Sudol
122,Eddie Redmayne,Dan Fogler
123,Katherine Waterston,Eddie Redmayne
124,Katherine Waterston,Alison Sudol
125,Katherine Waterston,Dan Fogler
126,Alison Sudol,Eddie Redmayne
127,Alison Sudol,Katherine Waterston
128,Alison Sudol,Dan Fogler
129,Dan Fogler,Eddie Redmayne
130,Dan Fogler,Katherine Waterston
131,Dan Fogler,Alison Sudol
132,Taraji P. Henson,Octavia Spencer
133,Taraji P. Henson,Janelle Monáe
134,Taraji P. Henson,Kevin Costner
135,Octavia Spencer,Taraji P. Henson
136,Octavia Spencer,Janelle Monáe
137,Octavia Spencer,Kevin Costner
138,Janelle Monáe,Taraji P. Henson
139,Janelle Monáe,Octavia Spencer
140,Janelle Monáe,Kevin Costner
141,Kevin Costner,Taraji P. Henson
142,Kevin Costner,Octavia Spencer
143,Kevin Costner,Janelle Monáe
144,Felicity Jones,Diego Luna
145,Felicity Jones,Alan Tudyk
146,Felicity Jones,Donnie Yen
147,Diego Luna,Felicity Jones
148,Diego Luna,Alan Tudyk
149,Diego Luna,Donnie Yen
150,Alan Tudyk,Felicity Jones
151,Alan Tudyk,Diego Luna
152,Alan Tudyk,Donnie Yen
153,Donnie Yen,Felicity Jones
154,Donnie Yen,Diego Luna
155,Donnie Yen,Alan Tudyk
156,Auli'i Cravalho,Dwayne Johnson
157,Auli'i Cravalho,Rachel House
158,Auli'i Cravalho,Temuera Morrison
159,Dwayne Johnson,Auli'i Cravalho
160,Dwayne Johnson,Rachel House
161,Dwayne Johnson,Temuera Morrison
162,Rachel House,Auli'i Cravalho
163,Rachel House,Dwayne Johnson
164,Rachel House,Temuera Morrison
165,Temuera Morrison,Auli'i Cravalho
166,Temuera Morrison,Dwayne Johnson
167,Temuera Morrison,Rachel House
168,Anne Hathaway,Jason Sudeikis
169,Anne Hathaway,Austin Stowell
170,Anne Hathaway,Tim Blake Nelson
171,Jason Sudeikis,Anne Hathaway
172,Jason Sudeikis,Austin Stowell
173,Jason Sudeikis,Tim Blake Nelson
174,Austin Stowell,Anne Hathaway
175,Austin Stowell,Jason Sudeikis
176,Austin Stowell,Tim Blake Nelson
177,Tim Blake Nelson,Anne Hathaway
178,Tim Blake Nelson,Jason Sudeikis
179,Tim Blake Nelson,Austin Stowell
180,Louis C.K.,Eric Stonestreet
181,Louis C.K.,Kevin Hart
182,Louis C.K.,Lake Bell
183,Eric Stonestreet,Louis C.K.
184,Eric Stonestreet,Kevin Hart
185,Eric Stonestreet,Lake Bell
186,Kevin Hart,Louis C.K.
187,Kevin Hart,Eric Stonestreet
188,Kevin Hart,Lake Bell
189,Lake Bell,Louis C.K.
190,Lake Bell,Eric Stonestreet
191,Lake Bell,Kevin Hart
192,Andrew Garfield,Sam Worthington
193,Andrew Garfield,Luke Bracey
194,Andrew Garfield,Teresa Palmer
195,Sam Worthington,Andrew Garfield
196,Sam Worthington,Luke Bracey
197,Sam Worthington,Teresa Palmer
198,Luke Bracey,Andrew Garfield
199,Luke Bracey,Sam Worthington
200,Luke Bracey,Teresa Palmer
201,Teresa Palmer,Andrew Garfield
202,Teresa Palmer,Sam Worthington
203,Teresa Palmer,Luke Bracey
204,Matt Damon,Tommy Lee Jones
205,Matt Damon,Alicia Vikander
206,Matt Damon,Vincent Cassel
207,Tommy Lee Jones,Matt Damon
208,Tommy Lee Jones,Alicia Vikander
209,Tommy Lee Jones,Vincent Cassel
210,Alicia Vikander,Matt Damon
211,Alicia Vikander,Tommy Lee Jones
212,Alicia Vikander,Vincent Cassel
213,Vincent Cassel,Matt Damon
214,Vincent Cassel,Tommy Lee Jones
215,Vincent Cassel,Alicia Vikander
216,Dev Patel,Nicole Kidman
217,Dev Patel,Rooney Mara
218,Dev Patel,Sunny Pawar
219,Nicole Kidman,Dev Patel
220,Nicole Kidman,Rooney Mara
221,Nicole Kidman,Sunny Pawar
222,Rooney Mara,Dev Patel
223,Rooney Mara,Nicole Kidman
224,Rooney Mara,Sunny Pawar
225,Sunny Pawar,Dev Patel
226,Sunny Pawar,Nicole Kidman
227,Sunny Pawar,Rooney Mara
228,Amy Adams,Jeremy Renner
229,Amy Adams,Forest Whitaker
230,Amy Adams,Michael Stuhlbarg
231,Jeremy Renner,Amy Adams
232,Jeremy Renner,Forest Whitaker
233,Jeremy Renner,Michael Stuhlbarg
234,Forest Whitaker,Amy Adams
235,Forest Whitaker,Jeremy Renner
236,Forest Whitaker,Michael Stuhlbarg
237,Michael Stuhlbarg,Amy Adams
238,Michael Stuhlbarg,Jeremy Renner
239,Michael Stuhlbarg,Forest Whitaker
240,Matthew McConaughey,Edgar Ramírez
241,Matthew McConaughey,Bryce Dallas Howard
242,Matthew McConaughey,Corey Stoll
243,Edgar Ramírez,Matthew McConaughey
244,Edgar Ramírez,Bryce Dallas Howard
245,Edgar Ramírez,Corey Stoll
246,Bryce Dallas Howard,Matthew McConaughey
247,Bryce Dallas Howard,Edgar Ramírez
248,Bryce Dallas Howard,Corey Stoll
249,Corey Stoll,Matthew McConaughey
250,Corey Stoll,Edgar Ramírez
251,Corey Stoll,Bryce Dallas Howard
252,Casey Affleck,Michelle Williams
253,Casey Affleck,Kyle Chandler
254,Casey Affleck,Lucas Hedges
255,Michelle Williams,Casey Affleck
256,Michelle Williams,Kyle Chandler
257,Michelle Williams,Lucas Hedges
258,Kyle Chandler,Casey Affleck
259,Kyle Chandler,Michelle Williams
260,Kyle Chandler,Lucas Hedges
261,Lucas Hedges,Casey Affleck
262,Lucas Hedges,Michelle Williams
263,Lucas Hedges,Kyle Chandler
264,Emma Booth,Ashleigh Cummings
265,Emma Booth,Stephen Curry
266,Emma Booth,Susie Porter
267,Ashleigh Cummings,Emma Booth
268,Ashleigh Cummings,Stephen Curry
269,Ashleigh Cummings,Susie Porter
270,Stephen Curry,Emma Booth
271,Stephen Curry,Ashleigh Cummings
272,Stephen Curry,Susie Porter
273,Susie Porter,Emma Booth
274,Susie Porter,Ashleigh Cummings
275,Susie Porter,Stephen Curry
276,Anna Kendrick,Justin Timberlake
277,Anna Kendrick,Zooey Deschanel
278,Anna Kendrick,Christopher Mintz-Plasse
279,Justin Timberlake,Anna Kendrick
280,Justin Timberlake,Zooey Deschanel
281,Justin Timberlake,Christopher Mintz-Plasse
282,Zooey Deschanel,Anna Kendrick
283,Zooey Deschanel,Justin Timberlake
284,Zooey Deschanel,Christopher Mintz-Plasse
285,Christopher Mintz-Plasse,Anna Kendrick
286,Christopher Mintz-Plasse,Justin Timberlake
287,Christopher Mintz-Plasse,Zooey Deschanel
288,Liam Hemsworth,Jeff Goldblum
289,Liam Hemsworth,Bill Pullman
290,Liam Hemsworth,Maika Monroe
291,Jeff Goldblum,Liam Hemsworth
292,Jeff Goldblum,Bill Pullman
293,Jeff Goldblum,Maika Monroe
294,Bill Pullman,Liam Hemsworth
295,Bill Pullman,Jeff Goldblum
296,Bill Pullman,Maika Monroe
297,Maika Monroe,Liam Hemsworth
298,Maika Monroe,Jeff Goldblum
