,Director,Actor,Frequency
0,James Gunn,Chris Pratt,1
1,James Gunn,Vin Diesel,1
2,James Gunn,Bradley Cooper,1
3,James Gunn,Zoe Saldana,1
4,Ridley Scott,Noomi Rapace,1
5,Ridley Scott,Logan Marshall-Green,1
6,Ridley Scott,Michael Fassbender,2
7,Ridley Scott,Charlize Theron,1
8,M. Night Shyamalan,James McAvoy,1
9,M. Night Shyamalan,Anya Taylor-Joy,1
10,M. Night Shyamalan,Haley Lu Richardson,1
11,M. Night Shyamalan,Jessica Sula,1
12,Christophe Lourdelet,Matthew McConaughey,1
13,Christophe Lourdelet,Reese Witherspoon,1
14,Christophe Lourdelet,Seth MacFarlane,1
15,Christophe Lourdelet,Scarlett Johansson,1
16,David Ayer,Will Smith,1
17,David Ayer,Jared Leto,1
18,David Ayer,Margot Robbie,1
19,David Ayer,Viola Davis,1
20,Yimou Zhang,Matt Damon,1
21,Yimou Zhang,Tian Jing,1
22,Yimou Zhang,Willem Dafoe,1
23,Yimou Zhang,Andy Lau,1
24,Damien Chazelle,Ryan Gosling,1
25,Damien Chazelle,Emma Stone,1
26,Damien Chazelle,Rosemarie DeWitt,1
27,Damien Chazelle,J.K. Simmons,2
28,Sean Foley,Essie Davis,1
29,Sean Foley,Andrea Riseborough,1
30,Sean Foley,Julian Barratt,1
31,Sean Foley,Kenneth Branagh,1
32,James Gray,Charlie Hunnam,1
33,James Gray,Robert Pattinson,1
34,James Gray,Sienna Miller,1
35,James Gray,Tom Holland,1
36,Morten Tyldum,Jennifer Lawrence,1
37,Morten Tyldum,Chris Pratt,1
38,Morten Tyldum,Michael Sheen,1
39,Morten Tyldum,Laurence Fishburne,1
40,David Yates,Eddie Redmayne,1
41,David Yates,Katherine Waterston,1
42,David Yates,Alison Sudol,1
43,David Yates,Dan Fogler,1
44,Theodore Melfi,Taraji P. Henson,1
45,Theodore Melfi,Octavia Spencer,1
46,Theodore Melfi,Janelle Monáe,1
47,Theodore Melfi,Kevin Costner,1
48,Gareth Edwards,Felicity Jones,1
49,Gareth Edwards,Diego Luna,1
50,Gareth Edwards,Alan Tudyk,1
51,Gareth Edwards,Donnie Yen,1
52,Ron Clements,Auli'i Cravalho,1
53,Ron Clements,Dwayne Johnson,1
54,Ron Clements,Rachel House,1
55,Ron Clements,Temuera Morrison,1
56,Nacho Vigalondo,Anne Hathaway,1
57,Nacho Vigalondo,Jason Sudeikis,1
58,Nacho Vigalondo,Austin Stowell,1
59,Nacho Vigalondo,Tim Blake Nelson,1
60,Chris Renaud,Louis C.K.,1
61,Chris Renaud,Eric Stonestreet,1
62,Chris Renaud,Kevin Hart,1
63,Chris Renaud,Lake Bell,1
64,Mel Gibson,Andrew Garfield,1
65,Mel Gibson,Sam Worthington,1
66,Mel Gibson,Luke Bracey,1
67,Mel Gibson,Teresa Palmer,1
68,Paul Greengrass,Matt Damon,2
69,Paul Greengrass,Tommy Lee Jones,1
70,Paul Greengrass,Alicia Vikander,1
71,Paul Greengrass,Vincent Cassel,1
72,Garth Davis,Dev Patel,1
73,Garth Davis,Nicole Kidman,1
74,Garth Davis,Rooney Mara,1
75,Garth Davis,Sunny Pawar,1
76,Denis Villeneuve,Amy Adams,1
77,Denis Villeneuve,Jeremy Renner,1
78,Denis Villeneuve,Forest Whitaker,1
79,Denis Villeneuve,Michael Stuhlbarg,1
80,Stephen Gaghan,Matthew McConaughey,1
81,Stephen Gaghan,Edgar Ramírez,1
82,Stephen Gaghan,Bryce Dallas Howard,1
83,Stephen Gaghan,Corey Stoll,1
84,Kenneth Lonergan,Casey Affleck,1
85,Kenneth Lonergan,Michelle Williams,1
86,Kenneth Lonergan,Kyle Chandler,1
87,Kenneth Lonergan,Lucas Hedges,1
88,Ben Young,Emma Booth,1
89,Ben Young,Ashleigh Cummings,1
90,Ben Young,Stephen Curry,1
91,Ben Young,Susie Porter,1
92,Walt Dohrn,Anna Kendrick,1
93,Walt Dohrn,Justin Timberlake,1
94,Walt Dohrn,Zooey Deschanel,1
95,Walt Dohrn,Christopher Mintz-Plasse,1
96,Roland Emmerich,Liam Hemsworth,1
97,Roland Emmerich,Jeff Goldblum,1
98,Roland Emmerich,Bill Pullman,1
99,Roland Emmerich,Maika Monroe,1
100,Dominique Abel,Fiona Gordon,1
101,Dominique Abel,Dominique Abel,1
102,Dominique Abel,Emmanuelle Riva,1
103,Dominique Abel,Pierre Richard,1
104,S.S. Rajamouli,Prabhas,1
105,S.S. Rajamouli,Rana Daggubati,1
106,S.S. Rajamouli,Anushka Shetty,1
107,S.S. Rajamouli,Tamannaah Bhatia,1
108,Phillip Guzman,Jocelin Donahue,1
109,Phillip Guzman,Jesse Bradford,1
110,Phillip Guzman,Jesse Borrego,1
111,Phillip Guzman,Lori Petty,1
112,Jon Lucas,Mila Kunis,1
113,Jon Lucas,Kathryn Hahn,1
114,Jon Lucas,Kristen Bell,1
115,Jon Lucas,Christina Applegate,1
116,Justin Kurzel,Michael Fassbender,2
117,Justin Kurzel,Marion Cotillard,2
118,Justin Kurzel,Jeremy Irons,1
119,Justin Kurzel,Brendan Gleeson,1
120,John Hamburg,Zoey Deutch,1
121,John Hamburg,James Franco,1
122,John Hamburg,Tangie Ambrose,1
123,John Hamburg,Cedric the Entertainer,1
124,Tom Ford,Amy Adams,1
125,Tom Ford,Jake Gyllenhaal,1
126,Tom Ford,Michael Shannon,1
127,Tom Ford,Aaron Taylor-Johnson,1
128,Bryan Singer,James McAvoy,2
129,Bryan Singer,Michael Fassbender,1
130,Bryan Singer,Jennifer Lawrence,1
131,Bryan Singer,Nicholas Hoult,1
132,Tim Miller,Ryan Reynolds,1
133,Tim Miller,Morena Baccarin,1
134,Tim Miller,T.J. Miller,1
135,Tim Miller,Ed Skrein,1
136,Paul W.S. Anderson,Milla Jovovich,4
137,Paul W.S. Anderson,Iain Glen,1
138,Paul W.S. Anderson,Ali Larter,2
139,Paul W.S. Anderson,Shawn Roberts,1
140,Anthony Russo,Chris Evans,2
141,Anthony Russo,Robert Downey Jr.,1
142,Anthony Russo,Scarlett Johansson,2
143,Anthony Russo,Sebastian Stan,1
144,Christopher Nolan,Matthew McConaughey,1
145,Christopher Nolan,Anne Hathaway,2
146,Christopher Nolan,Jessica Chastain,1
147,Christopher Nolan,Mackenzie Foy,1
148,Scott Derrickson,Benedict Cumberbatch,1
149,Scott Derrickson,Chiwetel Ejiofor,1
150,Scott Derrickson,Rachel McAdams,1
151,Scott Derrickson,Benedict Wong,1
152,Antoine Fuqua,Denzel Washington,2
153,Antoine Fuqua,Chris Pratt,1
154,Antoine Fuqua,Ethan Hawke,1
155,Antoine Fuqua,Vincent D'Onofrio,1
156,Patrick Read Johnson,John Francis Daley,1
157,Patrick Read Johnson,Austin Pendleton,1
158,Patrick Read Johnson,Colleen Camp,1
159,Patrick Read Johnson,Neil Flynn,1
160,Greg Tiernan,Seth Rogen,1
161,Greg Tiernan,Kristen Wiig,1
162,Greg Tiernan,Jonah Hill,1
163,Greg Tiernan,Alistair Abell,1
164,Barry Jenkins,Mahershala Ali,1
165,Barry Jenkins,Shariff Earp,1
166,Barry Jenkins,Duan Sanderson,1
167,Barry Jenkins,Alex R. Hibbert,1
168,Shawn Burkett,Brittany Blanton,1
169,Shawn Burkett,Ayse Howard,1
170,Shawn Burkett,Roman Jossart,1
171,Shawn Burkett,Nadia White,1
172,John Lee Hancock,Michael Keaton,1
173,John Lee Hancock,Nick Offerman,1
174,John Lee Hancock,John Carroll Lynch,1
175,John Lee Hancock,Linda Cardellini,1
176,Ricardo de Montreuil,Gabriel Chavarria,1
177,Ricardo de Montreuil,Demián Bichir,1
178,Ricardo de Montreuil,Theo Rossi,1
179,Ricardo de Montreuil,Tony Revolori,1
180,Rob Marshall,Johnny Depp,1
181,Rob Marshall,Penélope Cruz,1
182,Rob Marshall,Ian McShane,1
183,Rob Marshall,Geoffrey Rush,1
184,John Madden,Jessica Chastain,1
185,John Madden,Mark Strong,1
186,John Madden,Gugu Mbatha-Raw,1
187,John Madden,Michael Stuhlbarg,1
188,Scott Hicks,Hermione Corfield,1
189,Scott Hicks,Addison Timlin,1
190,Scott Hicks,Joely Richardson,1
191,Scott Hicks,Jeremy Irvine,1
192,Justin Lin,Chris Pine,1
193,Justin Lin,Zachary Quinto,1
194,Justin Lin,Karl Urban,1
195,Justin Lin,Zoe Saldana,1
196,Sean Penn,Charlize Theron,1
197,Sean Penn,Javier Bardem,1
198,Sean Penn,Adèle Exarchopoulos,1
199,Sean Penn,Jared Harris,1
200,J.J. Abrams,Daisy Ridley,1
201,J.J. Abrams,John Boyega,1
202,J.J. Abrams,Oscar Isaac,1
203,J.J. Abrams,Domhnall Gleeson,1
204,Anna Foerster,Kate Beckinsale,1
