,Director,Average Rating,Major Genre
0,James Gunn,7.05,Action
1,Ridley Scott,6.778124999999999,Adventure
2,M. Night Shyamalan,5.109375,Horror
3,Christophe Lourdelet,7.2,Animation
4,David Ayer,7.300000000000001,Action
5,Yimou Zhang,6.1,Action
6,Damien Chazelle,8.4,Comedy
7,Sean Foley,6.4,Comedy
8,James Gray,7.1,Action
9,Morten Tyldum,7.55,Adventure
10,David Yates,7.55,Adventure
11,Theodore Melfi,7.8,Biography
12,Gareth Edwards,7.15,Action
13,Ron Clements,7.4,Animation
14,Nacho Vigalondo,6.4,Action
15,Chris Renaud,6.6,Animation
16,Mel Gibson,8.0,Biography
17,Paul Greengrass,7.6,Action
18,Garth Davis,8.1,Biography
19,Denis Villeneuve,7.78125,Drama
20,Stephen Gaghan,6.7,Adventure
21,Kenneth Lonergan,7.9,Drama
22,Ben Young,6.7,Crime
23,Walt Dohrn,6.5,Animation
24,Roland Emmerich,5.824999999999999,Action
25,Dominique Abel,6.8,Comedy
26,S.S. Rajamouli,8.3,Action
27,Phillip Guzman,4.7,Horror
28,Jon Lucas,6.2,Comedy
29,Justin Kurzel,6.300000000000001,Action
30,John Hamburg,6.3,Comedy
31,Tom Ford,7.5,Drama
32,Bryan Singer,6.824999999999999,Action
33,Tim Miller,8.0,Action
34,Paul W.S. Anderson,5.93125,Action
35,Anthony Russo,7.85,Action
36,Christopher Nolan,8.6125,Adventure
37,Scott Derrickson,7.199999999999999,Action
38,Antoine Fuqua,7.03125,Action
39,Patrick Read Johnson,7.1,Comedy
40,Greg Tiernan,6.3,Animation
41,Barry Jenkins,7.5,Drama
42,Shawn Burkett,2.7,Horror
43,John Lee Hancock,7.475,Biography
44,Ricardo de Montreuil,6.3,Drama
45,Rob Marshall,6.35,Action
46,John Madden,7.3,Drama
47,Scott Hicks,6.05,Adventure
48,Justin Lin,6.762499999999999,Action
49,Sean Penn,5.9,Drama
50,J.J. Abrams,7.206250000000001,Action
51,Anna Foerster,5.8,Action
52,Garry Marshall,5.6,Comedy
53,Chad Stahelski,7.2,Action
54,Christopher Nolan,8.6125,Action
55,Martin Scorsese,7.80625,Adventure
56,Fede Alvarez,6.85,Crime
57,Thea Sharrock,7.4,Drama
58,Lone Scherfig,7.0,Comedy
59,Clint Eastwood,7.8,Biography
60,Zack Snyder,6.925,Action
61,André Øvredal,6.8,Horror
62,Tate Taylor,7.3,Crime
63,Sam Taylor-Johnson,4.1,Drama
64,Christopher Nolan,8.6125,Drama
65,Matthew Vaughn,7.7125,Action
66,Peter Berg,6.7125,Drama
67,George Miller,7.3,Action
68,Robin Swicord,7.5,Drama
69,Peter Berg,6.7125,Action
70,Terry George,5.9,Drama
71,Robert Zemeckis,7.137499999999999,Action
72,J.A. Bayona,7.55,Drama
73,David Frankel,6.8,Drama
74,Byron Howard,8.1,Animation
75,Gore Verbinski,6.675,Action
76,Joss Whedon,7.75,Action
77,Quentin Tarantino,7.6625000000000005,Adventure
78,Gore Verbinski,6.675,Action
79,Paul Feig,6.5874999999999995,Action
80,Christopher Nolan,8.6125,Action
81,Matt Ross,7.9,Comedy
82,Martin Scorsese,7.80625,Biography
83,David Fincher,7.78125,Crime
84,James Wan,7.1,Action
85,Colin Trevorrow,7.0,Action
86,Ben Affleck,7.525,Crime
87,James Cameron,7.8,Action
88,Quentin Tarantino,7.6625000000000005,Crime
89,Gavin O'Connor,7.8,Action
90,Denis Villeneuve,7.78125,Crime
91,Duncan Jones,7.475,Action
92,Tate Taylor,7.3,Drama
93,Todd Phillips,7.449999999999999,Comedy
94,Joss Whedon,7.75,Action
95,Shane Black,7.300000000000001,Action
96,Makoto Shinkai,8.6,Animation
97,Jeremy Gillespie,5.8,Horror
98,Olivier Assayas,6.3,Drama
99,Martin Scorsese,7.80625,Crime
100,Brian Helgeland,7.25,Biography
101,Kenneth Branagh,6.6,Action
102,Ridley Scott,6.778124999999999,Adventure
103,Oriol Paulo,7.9,Crime
104,Guy Ritchie,7.4375,Action
105,David Mackenzie,7.7,Crime
106,Taylor Hackford,5.4,Comedy
107,David Yates,7.55,Action
108,Katie Holmes,5.8,Drama
109,Alex Garland,7.7,Drama
110,Greg McLean,6.3,Action
111,Steve McQueen,7.625,Biography
112,Ana Lily Amirpour,6.1,Romance
113,Zack Snyder,6.925,Action
114,David Yates,7.55,Adventure
115,Josh Gordon,5.8,Comedy
116,Nicolas Winding Refn,7.05,Horror
117,Nitesh Tiwari,8.8,Action
118,Dan Trachtenberg,7.2,Drama
119,Andrew Stanton,7.7,Animation
120,Tim Burton,6.6,Adventure
121,Neil Burger,7.325,Adventure
122,Jake Szymanski,6.0,Adventure
123,Todor Chapkanov,7.4,Action
124,Christopher Nolan,8.6125,Action
125,Jon Favreau,7.324999999999999,Adventure
126,Michael Bay,6.2625,Action
127,Henry Joost,6.05,Adventure
128,Phyllida Lloyd,6.4,Comedy
129,Alejandro González Iñárritu,7.7,Adventure
130,Denzel Washington,7.3,Drama
131,Rob Marshall,6.35,Adventure
132,Jaume Collet-Serra,6.825,Drama
133,Damien Chazelle,8.4,Drama
134,Justin Lin,6.762499999999999,Action
135,Derek Cianfrance,7.325,Crime
136,Ethan Coen,7.3999999999999995,Crime
137,Baz Luhrmann,6.949999999999999,Drama
138,Martin Scorsese,7.80625,Mystery
139,Martin Koolhoven,7.1,Mystery
140,J.J. Abrams,7.206250000000001,Action
141,Thor Freudenthal,6.050000000000001,Comedy
142,Adam McKay,6.8125,Biography
143,Lenny Abrahamson,8.2,Drama
144,Quentin Tarantino,7.6625000000000005,Drama
145,Chan-wook Park,8.1,Drama
146,Kelly Fremon Craig,7.4,Comedy
147,Zack Snyder,6.925,Action
148,Greg Mottola,6.85,Comedy
149,Ron Howard,6.8125,Action
150,Steven Spielberg,6.725,Adventure
151,Gary Ross,7.050000000000001,Adventure
152,Elizabeth Wood,5.8,Drama
153,Denis Villeneuve,7.78125,Action
154,David Lynch,7.55,Drama
155,Colin Strause,4.7,Action
156,Guillermo del Toro,7.25,Action
157,Glenn Ficarra,6.8,Comedy
158,Edgar Wright,7.35,Action
159,Edgar Wright,7.35,Action
160,Fabio Guaglione,6.0,Thriller
161,Ben Wheatley,6.35,Action
162,Bryan Singer,6.824999999999999,Action
163,Edward Zwick,7.2,Action
164,Martin Campbell,6.8,Action
165,Catherine Hardwicke,5.2,Drama
166,Jon M. Chu,6.175000000000001,Action
167,Simon Curtis,7.3,Biography
168,Michael Bay,6.2625,Action
169,Sam Mendes,7.3,Action
170,Dan Gilroy,7.9,Crime
171,Travis Knight,7.9,Animation
172,Jackson Stewart,5.2,Adventure
173,Spike Jonze,8.0,Drama
174,Chris Buck,7.5,Animation
175,Brad Bird,7.475,Action
176,Matt Reeves,7.25,Action
177,Ben Stiller,6.574999999999999,Action
178,James Wan,7.1,Horror
179,Peyton Reed,6.55,Action
180,Sharon Maguire,6.7,Comedy
181,Robert Eggers,6.8,Horror
182,Kenneth Branagh,6.6,Drama
183,Mateo Gil,5.9,Sci-Fi
184,Asghar Farhadi,8.0,Drama
185,Gaspar Noé,6.0,Drama
186,Ang Lee,7.1,Drama
187,Guillermo del Toro,7.25,Drama
188,Nicolas Winding Refn,7.05,Crime
189,Judd Apatow,6.425000000000001,Comedy
190,Derek Cianfrance,7.325,Drama
191,April Mullen,5.6,Drama
192,Tom McCarthy,8.1,Crime
193,Luke Scott,5.8,Horror
194,Gavin O'Connor,7.8,Action
195,Joe Johnston,6.9,Action
196,Akan Satayev,6.3,Crime
197,Sean Penn,5.9,Adventure
198,Morten Tyldum,7.55,Biography
199,Rawson Marshall Thurber,6.65,Action
200,Doug Liman,7.0,Action
201,Gore Verbinski,6.675,Drama
202,Oliver Stone,6.9,Biography
203,Jon Favreau,7.324999999999999,Action
204,Robert Schwentke,6.55,Action
