,Title,Actor,Metascore
0,Guardians of the Galaxy,Chris Pratt,76.0
1,Guardians of the Galaxy,Vin Diesel,76.0
2,Guardians of the Galaxy,Bradley Cooper,76.0
3,Guardians of the Galaxy,Zoe Saldana,76.0
4,Prometheus,Noomi Rapace,65.0
5,Prometheus,Logan Marshall-Green,65.0
6,Prometheus,Michael Fassbender,65.0
7,Prometheus,Charlize Theron,65.0
8,Split,James McAvoy,62.0
9,Split,Anya Taylor-Joy,62.0
10,Split,Haley Lu Richardson,62.0
11,Split,Jessica Sula,62.0
12,Sing,Matthew McConaughey,59.0
13,Sing,Reese Witherspoon,59.0
14,Sing,Seth MacFarlane,59.0
15,Sing,Scarlett Johansson,59.0
16,Suicide Squad,Will Smith,40.0
17,Suicide Squad,Jared Leto,40.0
18,Suicide Squad,Margot Robbie,40.0
19,Suicide Squad,Viola Davis,40.0
20,The Great Wall,Matt Damon,42.0
21,The Great Wall,Tian Jing,42.0
22,The Great Wall,Willem Dafoe,42.0
23,The Great Wall,Andy Lau,42.0
24,La La Land,Ryan Gosling,93.0
25,La La Land,Emma Stone,93.0
26,La La Land,Rosemarie DeWitt,93.0
27,La La Land,J.K. Simmons,93.0
28,Mindhorn,Essie Davis,71.0
29,Mindhorn,Andrea Riseborough,71.0
30,Mindhorn,Julian Barratt,71.0
31,Mindhorn,Kenneth Branagh,71.0
32,The Lost City of Z,Charlie Hunnam,78.0
33,The Lost City of Z,Robert Pattinson,78.0
34,The Lost City of Z,Sienna Miller,78.0
35,The Lost City of Z,Tom Holland,78.0
36,Passengers,Jennifer Lawrence,41.0
37,Passengers,Chris Pratt,41.0
38,Passengers,Michael Sheen,41.0
39,Passengers,Laurence Fishburne,41.0
40,Fantastic Beasts and Where to Find Them,Eddie Redmayne,66.0
41,Fantastic Beasts and Where to Find Them,Katherine Waterston,66.0
42,Fantastic Beasts and Where to Find Them,Alison Sudol,66.0
43,Fantastic Beasts and Where to Find Them,Dan Fogler,66.0
44,Hidden Figures,Taraji P. Henson,74.0
45,Hidden Figures,Octavia Spencer,74.0
46,Hidden Figures,Janelle Monáe,74.0
47,Hidden Figures,Kevin Costner,74.0
48,Rogue One,Felicity Jones,65.0
49,Rogue One,Diego Luna,65.0
50,Rogue One,Alan Tudyk,65.0
51,Rogue One,Donnie Yen,65.0
52,Moana,Auli'i Cravalho,81.0
53,Moana,Dwayne Johnson,81.0
54,Moana,Rachel House,81.0
55,Moana,Temuera Morrison,81.0
56,Colossal,Anne Hathaway,70.0
57,Colossal,Jason Sudeikis,70.0
58,Colossal,Austin Stowell,70.0
59,Colossal,Tim Blake Nelson,70.0
