,Title,Director,Metascore
0,Guardians of the Galaxy,James Gunn,76.0
1,Prometheus,Ridley Scott,65.0
2,Split,M. Night Shyamalan,62.0
3,Sing,Christophe Lourdelet,59.0
4,Suicide Squad,David Ayer,40.0
5,The Great Wall,Yimou Zhang,42.0
6,La La Land,Damien Chazelle,93.0
7,Mindhorn,Sean Foley,71.0
8,The Lost City of Z,James Gray,78.0
9,Passengers,Morten Tyldum,41.0
10,Fantastic Beasts and Where to Find Them,David Yates,66.0
11,Hidden Figures,Theodore Melfi,74.0
12,Rogue One,Gareth Edwards,65.0
13,Moana,Ron Clements,81.0
14,Colossal,Nacho Vigalondo,70.0
15,The Secret Life of Pets,Chris Renaud,61.0
16,Hacksaw Ridge,Mel Gibson,71.0
17,Jason Bourne,Paul Greengrass,58.0
18,Lion,Garth Davis,69.0
19,Arrival,Denis Villeneuve,81.0
20,Gold,Stephen Gaghan,49.0
21,Manchester by the Sea,Kenneth Lonergan,96.0
22,Hounds of Love,Ben Young,72.0
23,Trolls,Walt Dohrn,56.0
24,Independence Day: Resurgence,Roland Emmerich,32.0
25,Paris pieds nus,Dominique Abel,
26,Bahubali: The Beginning,S.S. Rajamouli,
27,Dead Awake,Phillip Guzman,
28,Bad Moms,Jon Lucas,60.0
29,Assassin's Creed,Justin Kurzel,36.0
30,Why Him?,John Hamburg,39.0
31,Nocturnal Animals,Tom Ford,67.0
32,X-Men: Apocalypse,Bryan Singer,52.0
33,Deadpool,Tim Miller,65.0
34,Resident Evil: The Final Chapter,Paul W.S. Anderson,49.0
35,Captain America: Civil War,Anthony Russo,75.0
36,Interstellar,Christopher Nolan,74.0
37,Doctor Strange,Scott Derrickson,72.0
38,The Magnificent Seven,Antoine Fuqua,54.0
39,5- 25- 77,Patrick Read Johnson,
40,Sausage Party,Greg Tiernan,66.0
41,Moonlight,Barry Jenkins,99.0
42,Don't Fuck in the Woods,Shawn Burkett,
43,The Founder,John Lee Hancock,66.0
44,Lowriders,Ricardo de Montreuil,57.0
45,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,45.0
46,Miss Sloane,John Madden,64.0
47,Fallen,Scott Hicks,
48,Star Trek Beyond,Justin Lin,68.0
49,The Last Face,Sean Penn,16.0
50,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,81.0
51,Underworld: Blood Wars,Anna Foerster,23.0
52,Mother's Day,Garry Marshall,18.0
53,John Wick,Chad Stahelski,68.0
54,The Dark Knight,Christopher Nolan,82.0
55,Silence,Martin Scorsese,79.0
56,Don't Breathe,Fede Alvarez,71.0
57,Me Before You,Thea Sharrock,51.0
58,Their Finest,Lone Scherfig,76.0
59,Sully,Clint Eastwood,74.0
60,Batman v Superman: Dawn of Justice,Zack Snyder,44.0
61,The Autopsy of Jane Doe,André Øvredal,65.0
62,The Girl on the Train,Tate Taylor,48.0
63,Fifty Shades of Grey,Sam Taylor-Johnson,46.0
64,The Prestige,Christopher Nolan,66.0
65,Kingsman: The Secret Service,Matthew Vaughn,58.0
66,Patriots Day,Peter Berg,69.0
67,Mad Max: Fury Road,George Miller,90.0
68,Wakefield,Robin Swicord,61.0
69,Deepwater Horizon,Peter Berg,68.0
70,The Promise,Terry George,49.0
71,Allied,Robert Zemeckis,60.0
72,A Monster Calls,J.A. Bayona,76.0
73,Collateral Beauty,David Frankel,23.0
74,Zootopia,Byron Howard,78.0
75,Pirates of the Caribbean: At World's End,Gore Verbinski,50.0
76,The Avengers,Joss Whedon,69.0
77,Inglourious Basterds,Quentin Tarantino,69.0
78,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,53.0
79,Ghostbusters,Paul Feig,60.0
80,Inception,Christopher Nolan,74.0
81,Captain Fantastic,Matt Ross,72.0
82,The Wolf of Wall Street,Martin Scorsese,75.0
83,Gone Girl,David Fincher,79.0
84,Furious Seven,James Wan,67.0
85,Jurassic World,Colin Trevorrow,59.0
86,Live by Night,Ben Affleck,49.0
87,Avatar,James Cameron,83.0
88,The Hateful Eight,Quentin Tarantino,68.0
89,The Accountant,Gavin O'Connor,51.0
90,Prisoners,Denis Villeneuve,74.0
91,Warcraft,Duncan Jones,32.0
92,The Help,Tate Taylor,62.0
93,War Dogs,Todd Phillips,57.0
94,Avengers: Age of Ultron,Joss Whedon,66.0
95,The Nice Guys,Shane Black,70.0
96,Kimi no na wa,Makoto Shinkai,79.0
97,The Void,Jeremy Gillespie,62.0
98,Personal Shopper,Olivier Assayas,77.0
99,The Departed,Martin Scorsese,85.0
100,Legend,Brian Helgeland,55.0
101,Thor,Kenneth Branagh,57.0
102,The Martian,Ridley Scott,80.0
103,Contratiempo,Oriol Paulo,
104,The Man from U.N.C.L.E.,Guy Ritchie,56.0
105,Hell or High Water,David Mackenzie,88.0
106,The Comedian,Taylor Hackford,40.0
107,The Legend of Tarzan,David Yates,44.0
108,All We Had,Katie Holmes,48.0
109,Ex Machina,Alex Garland,78.0
110,The Belko Experiment,Greg McLean,44.0
111,12 Years a Slave,Steve McQueen,96.0
112,The Bad Batch,Ana Lily Amirpour,65.0
113,300,Zack Snyder,52.0
114,Harry Potter and the Deathly Hallows: Part 2,David Yates,87.0
115,Office Christmas Party,Josh Gordon,42.0
116,The Neon Demon,Nicolas Winding Refn,51.0
117,Dangal,Nitesh Tiwari,
118,10 Cloverfield Lane,Dan Trachtenberg,76.0
119,Finding Dory,Andrew Stanton,77.0
120,Miss Peregrine's Home for Peculiar Children,Tim Burton,57.0
121,Divergent,Neil Burger,48.0
122,Mike and Dave Need Wedding Dates,Jake Szymanski,51.0
123,Boyka: Undisputed IV,Todor Chapkanov,
124,The Dark Knight Rises,Christopher Nolan,78.0
125,The Jungle Book,Jon Favreau,77.0
126,Transformers: Age of Extinction,Michael Bay,32.0
127,Nerve,Henry Joost,58.0
128,Mamma Mia!,Phyllida Lloyd,51.0
129,The Revenant,Alejandro González Iñárritu,76.0
130,Fences,Denzel Washington,79.0
131,Into the Woods,Rob Marshall,69.0
132,The Shallows,Jaume Collet-Serra,59.0
133,Whiplash,Damien Chazelle,88.0
134,Furious 6,Justin Lin,61.0
135,The Place Beyond the Pines,Derek Cianfrance,68.0
136,No Country for Old Men,Ethan Coen,91.0
137,The Great Gatsby,Baz Luhrmann,55.0
138,Shutter Island,Martin Scorsese,63.0
139,Brimstone,Martin Koolhoven,44.0
140,Star Trek,J.J. Abrams,82.0
141,Diary of a Wimpy Kid,Thor Freudenthal,56.0
142,The Big Short,Adam McKay,81.0
143,Room,Lenny Abrahamson,86.0
144,Django Unchained,Quentin Tarantino,81.0
145,Ah-ga-ssi,Chan-wook Park,84.0
146,The Edge of Seventeen,Kelly Fremon Craig,77.0
147,Watchmen,Zack Snyder,56.0
148,Superbad,Greg Mottola,76.0
149,Inferno,Ron Howard,42.0
150,The BFG,Steven Spielberg,66.0
151,The Hunger Games,Gary Ross,68.0
152,White Girl,Elizabeth Wood,65.0
153,Sicario,Denis Villeneuve,82.0
154,Twin Peaks: The Missing Pieces,David Lynch,
155,Aliens vs Predator - Requiem,Colin Strause,29.0
156,Pacific Rim,Guillermo del Toro,64.0
157,"Crazy, Stupid, Love.",Glenn Ficarra,68.0
158,Scott Pilgrim vs. the World,Edgar Wright,69.0
159,Hot Fuzz,Edgar Wright,81.0
160,Mine,Fabio Guaglione,40.0
161,Free Fire,Ben Wheatley,63.0
162,X-Men: Days of Future Past,Bryan Singer,74.0
163,Jack Reacher: Never Go Back,Edward Zwick,47.0
164,Casino Royale,Martin Campbell,80.0
165,Twilight,Catherine Hardwicke,56.0
166,Now You See Me 2,Jon M. Chu,46.0
167,Woman in Gold,Simon Curtis,51.0
168,13 Hours,Michael Bay,48.0
169,Spectre,Sam Mendes,60.0
170,Nightcrawler,Dan Gilroy,76.0
171,Kubo and the Two Strings,Travis Knight,84.0
172,Beyond the Gates,Jackson Stewart,59.0
173,Her,Spike Jonze,90.0
174,Frozen,Chris Buck,74.0
175,Tomorrowland,Brad Bird,60.0
176,Dawn of the Planet of the Apes,Matt Reeves,79.0
177,Tropic Thunder,Ben Stiller,71.0
178,The Conjuring 2,James Wan,65.0
179,Ant-Man,Peyton Reed,64.0
180,Bridget Jones's Baby,Sharon Maguire,59.0
181,The VVitch: A New-England Folktale,Robert Eggers,83.0
182,Cinderella,Kenneth Branagh,67.0
183,Realive,Mateo Gil,
184,Forushande,Asghar Farhadi,85.0
185,Love,Gaspar Noé,51.0
186,Billy Lynn's Long Halftime Walk,Ang Lee,53.0
187,Crimson Peak,Guillermo del Toro,66.0
188,Drive,Nicolas Winding Refn,78.0
189,Trainwreck,Judd Apatow,75.0
190,The Light Between Oceans,Derek Cianfrance,60.0
191,Below Her Mouth,April Mullen,42.0
192,Spotlight,Tom McCarthy,93.0
193,Morgan,Luke Scott,48.0
194,Warrior,Gavin O'Connor,71.0
195,Captain America: The First Avenger,Joe Johnston,66.0
196,Hacker,Akan Satayev,
197,Into the Wild,Sean Penn,73.0
198,The Imitation Game,Morten Tyldum,73.0
199,Central Intelligence,Rawson Marshall Thurber,52.0
200,Edge of Tomorrow,Doug Liman,71.0
201,A Cure for Wellness,Gore Verbinski,47.0
202,Snowden,Oliver Stone,58.0
203,Iron Man,Jon Favreau,79.0
204,Allegiant,Robert Schwentke,33.0
205,X: First Class,Matthew Vaughn,65.0
206,Raw (II),Julia Ducournau,81.0
207,Paterson,Jim Jarmusch,90.0
208,Bridesmaids,Paul Feig,75.0
209,The Girl with All the Gifts,Colm McCarthy,67.0
210,San Andreas,Brad Peyton,43.0
211,Spring Breakers,Harmony Korine,63.0
212,Transformers,Michael Bay,61.0
213,Old Boy,Spike Lee,49.0
214,Thor: The Dark World,Alan Taylor,54.0
215,Gods of Egypt,Alex Proyas,25.0
216,Captain America: The Winter Soldier,Anthony Russo,70.0
217,Monster Trucks,Chris Wedge,41.0
218,A Dark Song,Liam Gavin,67.0
219,Kick-Ass,Matthew Vaughn,66.0
220,Hardcore Henry,Ilya Naishuller,51.0
221,Cars,John Lasseter,73.0
222,It Follows,David Robert Mitchell,83.0
223,The Girl with the Dragon Tattoo,David Fincher,71.0
224,We're the Millers,Rawson Marshall Thurber,44.0
225,American Honey,Andrea Arnold,79.0
226,The Lobster,Yorgos Lanthimos,82.0
227,Predators,Nimród Antal,51.0
228,Maleficent,Robert Stromberg,56.0
229,Rupture,Steven Shainberg,35.0
230,Pan's Labyrinth,Guillermo del Toro,98.0
231,A Kind of Murder,Andy Goddard,50.0
232,Apocalypto,Mel Gibson,68.0
233,Mission: Impossible - Rogue Nation,Christopher McQuarrie,75.0
234,The Huntsman: Winter's War,Cedric Nicolas-Troyan,35.0
235,The Perks of Being a Wallflower,Stephen Chbosky,67.0
236,Jackie,Pablo Larraín,81.0
